50
1098
34	92	64	53	50	26	40	24	71	84	56	71	20	96	59	76	82	89	43	80	66	85	20	38	17	34	42	28	41	65	66	91	13	8	36	55	9	34	64	58	90	27	58	69	53	48	2	50	60	36	
22	67	64	43	23	58	66	32	76	43	48	74	26	56	56	46	96	1	52	68	60	64	11	49	16	78	66	11	64	3	16	83	32	44	65	18	88	52	63	26	23	83	27	66	46	71	22	85	21	47	
67	93	41	40	30	18	61	7	36	79	86	69	6	58	51	46	20	54	5	78	92	42	97	35	34	95	9	80	83	57	20	29	90	66	78	98	99	4	76	79	48	87	72	36	34	49	89	29	16	51	
64	41	99	84	20	26	10	97	79	53	65	23	11	94	69	89	28	31	22	54	92	16	55	17	76	26	43	22	3	14	98	24	3	70	35	9	58	9	37	58	100	22	34	91	2	3	97	69	36	99	
43	40	84	22	58	100	68	61	77	63	77	24	26	63	19	90	53	61	30	74	98	43	91	93	7	96	52	1	95	76	73	25	81	21	33	61	14	14	86	69	31	19	1	93	76	80	12	89	92	52	
23	30	20	58	79	25	14	41	2	79	70	86	54	16	73	94	76	12	95	32	87	10	51	45	66	94	32	85	38	16	48	28	68	34	88	61	71	21	88	40	87	6	88	26	2	90	90	45	63	92	
58	18	26	100	25	63	79	68	93	44	33	97	17	7	89	8	84	70	69	15	45	40	95	84	53	12	75	20	45	4	27	74	45	77	31	47	96	24	44	84	79	85	28	8	23	68	100	71	36	13	
66	61	10	68	14	79	43	30	10	33	73	35	86	96	42	17	11	50	85	29	98	93	75	93	63	8	60	6	46	99	13	63	26	62	1	64	78	68	57	34	32	5	23	74	87	19	87	95	45	87	
32	7	97	61	41	68	30	16	36	12	1	2	49	7	69	29	41	49	34	17	12	57	40	72	66	84	9	60	18	87	40	2	42	53	1	26	78	48	21	96	46	54	4	26	62	44	11	61	75	88	
76	36	79	77	2	93	10	36	58	96	33	45	2	21	45	82	6	18	28	37	9	71	18	4	66	96	51	85	88	23	24	66	22	98	95	6	57	27	94	66	91	70	79	54	87	72	82	30	91	42	
43	79	53	63	79	44	33	12	96	92	40	19	95	52	75	91	5	84	25	19	95	56	100	69	31	62	20	77	22	33	90	62	69	69	20	1	20	50	5	92	78	85	45	73	26	74	59	79	97	43	
48	86	65	77	70	33	73	1	33	40	7	85	89	58	59	57	53	43	26	96	57	19	91	12	76	62	57	84	15	92	77	8	84	88	52	99	11	75	63	44	17	3	47	68	13	43	50	2	63	26	
74	69	23	24	86	97	35	2	45	19	85	48	56	29	40	7	18	31	100	48	94	51	50	73	28	4	9	13	94	60	29	54	74	40	48	4	32	60	68	99	81	25	52	58	26	20	20	89	23	82	
26	6	11	26	54	17	86	49	2	95	89	56	33	32	63	66	99	43	30	76	85	95	85	25	70	93	43	29	42	93	98	20	71	30	14	86	90	38	59	19	81	100	78	63	80	100	10	6	88	32	
56	58	94	63	16	7	96	7	21	52	58	29	32	59	22	87	37	20	33	46	49	62	27	98	15	95	81	89	35	4	25	18	34	26	33	8	39	68	30	72	43	92	73	66	84	52	31	96	28	48	
56	51	69	19	73	89	42	69	45	75	59	40	63	22	96	86	55	80	76	25	98	46	73	4	1	18	53	45	29	9	53	7	60	100	75	11	74	95	18	78	28	96	15	57	6	76	82	23	32	44	
46	46	89	90	94	8	17	29	82	91	57	7	66	87	86	30	52	68	42	81	91	38	10	69	62	45	90	25	88	74	6	47	7	69	98	73	41	33	25	40	50	76	53	94	28	97	69	98	58	83	
96	20	28	53	76	84	11	41	6	5	53	18	99	37	55	52	65	28	32	33	68	52	48	81	22	71	6	53	13	73	88	82	84	3	53	54	55	27	93	51	41	7	3	7	27	3	3	40	70	41	
1	54	31	61	12	70	50	49	18	84	43	31	43	20	80	68	28	69	46	22	16	73	30	29	54	30	99	44	26	67	54	66	58	79	51	80	50	5	76	53	42	69	91	44	30	84	35	5	55	83	
52	5	22	30	95	69	85	34	28	25	26	100	30	33	76	42	32	46	44	62	5	27	4	98	19	44	47	90	3	67	27	95	74	1	32	4	95	17	97	10	16	84	45	33	67	40	99	32	23	56	
68	78	54	74	32	15	29	17	37	19	96	48	76	46	25	81	33	22	62	57	29	6	14	46	10	89	10	28	21	78	95	89	32	100	99	68	92	37	74	86	49	55	52	14	84	50	8	17	58	2	
60	92	92	98	87	45	98	12	9	95	57	94	85	49	98	91	68	16	5	29	69	63	69	1	30	24	53	5	15	53	87	57	96	98	9	41	47	44	21	35	60	91	4	70	96	25	97	62	63	69	
64	42	16	43	10	40	93	57	71	56	19	51	95	62	46	38	52	73	27	6	63	31	43	51	22	50	57	48	43	75	17	42	74	90	12	67	65	43	4	38	70	36	56	54	66	49	51	92	54	92	
11	97	55	91	51	95	75	40	18	100	91	50	85	27	73	10	48	30	4	14	69	43	54	73	79	73	46	97	25	83	84	79	36	97	45	76	14	41	26	49	36	65	69	49	71	72	69	22	22	99	
49	35	17	93	45	84	93	72	4	69	12	73	25	98	4	69	81	29	98	46	1	51	73	24	9	82	19	79	60	21	71	77	58	73	18	57	93	92	15	16	80	76	71	77	81	49	22	54	25	9	
16	34	76	7	66	53	63	66	66	31	76	28	70	15	1	62	22	54	19	10	30	22	79	9	80	91	78	15	2	96	66	32	20	81	13	4	32	65	2	46	67	89	53	59	51	93	52	59	15	51	
78	95	26	96	94	12	8	84	96	62	62	4	93	95	18	45	71	30	44	89	24	50	73	82	91	64	63	81	35	6	58	37	18	85	98	25	49	57	65	27	17	25	24	57	23	97	82	62	85	48	
