100
2503
78	42	10	55	6	69	52	28	51	30	27	64	41	9	32	17	46	25	34	54	72	1	82	4	10	24	8	55	34	2	65	56	29	72	95	69	1	83	38	60	79	40	75	74	69	67	88	71	22	75	78	35	14	33	11	53	62	98	86	25	25	68	26	25	22	92	16	2	89	84	95	85	11	4	31	94	31	6	65	92	74	84	99	80	97	72	94	9	33	83	38	43	17	85	32	6	75	45	24	61	
50	43	93	4	92	13	89	16	61	27	80	71	29	2	41	23	79	53	95	78	11	72	63	79	14	45	89	34	31	3	83	78	7	26	66	29	26	47	76	30	21	19	36	59	53	78	33	17	47	51	37	37	77	95	79	88	92	64	64	52	8	70	32	46	96	63	45	32	23	18	16	78	64	20	60	94	92	85	28	41	21	85	4	2	64	97	97	70	55	100	48	85	85	39	13	15	44	37	13	65	
43	43	62	86	71	19	1	74	27	89	40	4	85	99	57	17	80	61	94	31	41	6	17	60	27	45	17	72	1	61	49	3	52	80	23	50	63	92	39	51	97	67	27	74	89	31	90	96	31	19	58	41	36	73	56	73	22	49	51	96	14	50	4	82	63	83	9	20	40	77	85	65	3	6	31	28	67	56	27	33	29	64	21	57	22	72	26	48	62	50	57	95	31	76	91	55	14	35	100	5	
93	62	33	25	17	54	45	17	84	83	24	55	4	94	19	44	32	9	76	7	35	50	60	49	41	63	19	46	98	93	30	99	12	38	91	65	20	16	69	83	39	15	46	76	77	24	64	19	18	39	14	66	56	84	82	13	22	30	38	22	91	14	48	70	64	8	22	59	43	59	25	75	100	53	75	44	35	70	40	39	23	57	44	23	91	68	76	68	96	1	13	13	3	24	60	76	82	81	58	13	
4	86	25	40	88	57	13	33	52	61	18	53	84	41	89	98	65	91	58	57	79	7	98	94	1	63	89	65	29	70	76	9	50	92	86	4	60	48	89	47	81	4	12	45	8	46	12	89	31	77	81	50	51	94	67	100	92	72	42	4	83	94	63	81	6	69	5	90	69	76	3	37	29	36	56	17	67	79	27	13	11	91	96	65	38	82	92	66	54	46	67	89	84	56	18	63	89	83	25	40	
92	71	17	88	90	25	56	67	10	43	14	94	56	18	16	88	79	26	97	60	64	64	12	38	57	50	45	88	48	59	57	40	60	93	45	46	51	17	40	74	40	31	60	11	14	58	84	49	20	10	54	10	9	17	37	44	3	28	81	64	80	34	82	22	49	42	62	68	25	3	78	33	94	59	70	27	62	44	79	5	47	11	14	66	81	41	44	75	9	50	85	100	57	55	85	45	83	65	41	28	
13	19	54	57	25	61	77	90	69	32	82	24	78	11	7	8	10	50	47	61	59	88	24	2	15	2	96	5	57	64	40	17	22	37	28	87	47	21	92	6	58	44	74	61	11	91	21	63	68	10	82	81	41	77	47	98	51	48	70	64	57	30	93	39	27	40	62	33	14	63	21	73	80	57	15	86	56	97	5	67	72	12	81	84	56	29	44	68	51	44	46	9	31	23	60	51	72	19	52	92	
89	1	45	13	56	77	83	64	56	61	27	48	75	49	3	43	69	76	58	44	47	81	80	91	50	14	71	48	60	94	9	92	13	81	48	60	65	59	34	64	38	93	27	29	72	59	59	37	28	97	85	78	18	41	94	69	88	9	59	11	19	97	32	88	17	69	6	17	41	23	64	70	58	11	53	94	60	68	7	74	9	41	61	19	21	42	57	60	52	90	24	20	66	20	49	23	3	6	81	28	
16	74	17	33	67	90	64	2	8	93	65	52	44	49	86	9	89	86	28	31	71	65	98	95	19	71	11	72	5	3	25	70	38	51	8	21	53	46	60	19	69	40	93	88	29	47	82	2	36	66	49	88	1	25	28	98	13	28	67	35	49	22	4	93	29	49	34	42	11	100	2	92	78	6	12	3	65	26	98	49	21	88	43	43	87	38	5	13	100	10	29	19	82	39	56	21	81	97	96	10	
61	27	84	52	10	69	56	8	35	59	90	47	3	47	15	85	14	28	49	7	93	78	40	87	73	23	17	77	18	56	34	34	86	73	3	12	34	12	80	20	70	93	56	39	58	35	33	53	44	99	93	6	22	28	74	49	30	70	100	7	79	98	88	17	94	91	48	24	19	100	5	27	72	25	13	81	5	62	8	48	34	84	37	93	78	99	15	85	70	62	13	42	87	27	63	31	61	17	96	53	
27	89	83	61	43	32	61	93	59	90	87	58	86	17	92	10	96	66	99	31	12	21	98	54	19	60	96	74	5	56	4	22	55	100	93	99	56	36	11	3	34	58	47	5	59	4	31	24	2	86	33	15	74	95	66	77	61	48	38	79	85	46	50	49	37	91	96	80	21	32	81	64	65	60	11	20	51	15	92	42	98	73	40	8	62	1	3	79	92	62	4	8	32	56	38	96	74	52	52	37	
