200
5430
72	9	99	61	51	61	95	56	15	86	36	2	17	30	40	96	4	12	2	40	34	88	88	12	64	33	32	72	18	98	54	81	18	95	65	35	9	75	83	9	49	81	38	63	92	7	53	26	85	20	20	29	84	16	100	32	62	6	12	45	84	84	54	31	44	63	7	54	95	66	50	40	51	43	83	48	72	1	50	14	74	94	79	47	100	33	5	20	29	43	22	67	61	10	78	23	3	81	20	92	21	38	55	7	59	26	88	100	32	1	37	81	29	49	71	40	68	61	67	96	91	62	45	47	57	61	14	8	7	87	26	47	11	85	90	33	25	22	42	54	18	68	41	33	53	95	66	19	52	30	14	16	69	57	21	96	96	69	54	3	9	40	21	46	43	46	92	55	40	20	84	32	56	14	37	42	70	88	60	60	3	43	23	33	87	38	95	66	9	90	76	35	57	76	47	28	67	24	51	26	
76	38	32	77	57	1	46	30	41	63	51	71	30	65	4	81	61	57	33	94	28	30	85	61	98	77	6	40	48	11	83	99	65	70	76	62	89	51	65	70	33	69	29	86	23	42	4	34	100	72	63	35	94	83	57	90	3	18	8	19	98	60	47	42	64	53	53	49	24	27	74	81	29	38	40	20	37	91	25	73	22	100	90	71	52	24	49	48	34	77	85	6	89	37	89	77	52	83	90	84	75	21	87	31	96	39	25	95	99	55	12	31	48	54	38	2	26	35	16	19	71	90	29	26	22	99	28	84	15	10	27	4	81	81	11	78	63	26	30	48	42	56	100	40	97	43	28	2	85	73	13	21	49	43	43	48	67	64	39	57	26	96	86	82	83	49	78	94	2	81	11	92	22	23	60	81	25	81	13	59	16	33	13	12	100	41	60	75	48	43	89	35	98	35	61	48	38	99	35	10	
38	82	66	34	97	79	73	46	41	75	89	54	35	23	54	47	3	27	92	35	66	87	12	57	61	85	42	73	44	21	81	71	89	44	15	1	37	21	41	15	29	32	96	29	24	72	85	89	32	71	4	31	58	90	17	83	64	41	20	81	68	63	10	27	3	70	89	7	84	17	60	6	86	61	47	74	99	69	50	60	83	89	2	18	77	87	60	18	19	44	42	28	79	66	12	7	61	50	87	15	67	12	26	95	75	76	65	35	63	48	57	9	69	24	23	81	26	45	38	10	29	56	93	88	11	74	28	26	24	75	88	89	10	8	34	9	29	40	6	77	12	5	81	34	15	2	43	100	25	68	65	24	56	17	6	75	78	93	7	61	73	96	22	21	43	62	8	77	71	57	78	2	50	96	95	66	60	74	27	95	58	83	80	92	30	5	7	71	48	69	50	64	80	32	96	88	50	33	44	94	
32	66	13	64	43	68	63	85	94	44	2	43	87	55	78	97	24	32	33	26	50	87	33	47	1	57	14	87	11	39	88	39	37	42	34	20	51	1	75	8	96	71	51	88	58	39	54	67	66	20	93	86	26	54	15	49	81	56	64	43	14	13	34	72	68	1	63	32	85	46	93	49	97	46	5	86	17	51	91	83	9	82	12	50	35	91	90	4	40	22	63	57	84	72	99	83	88	13	77	6	100	82	59	24	14	78	9	23	15	57	11	57	79	70	17	43	81	72	58	91	26	95	60	91	8	41	98	39	36	11	4	70	68	62	50	99	78	65	71	78	47	44	1	37	42	99	66	31	73	46	84	100	5	26	25	81	66	76	56	17	54	84	86	13	5	74	68	88	14	39	29	99	31	88	55	90	1	80	7	96	93	28	30	7	87	3	94	40	23	55	67	8	14	34	98	72	1	80	92	69	
77	34	64	40	1	70	45	55	61	32	22	64	17	62	60	4	31	37	75	84	92	56	16	74	84	87	57	30	12	8	74	42	47	26	15	25	96	43	67	48	75	6	32	18	24	45	10	75	14	62	72	57	58	40	81	88	41	29	48	80	97	61	36	42	45	40	75	38	37	79	44	30	85	20	85	63	31	31	19	17	67	7	51	29	77	63	5	86	9	82	52	35	85	84	24	36	91	27	30	13	44	53	91	98	17	60	52	3	80	54	3	5	7	22	33	79	19	8	4	7	68	6	24	3	6	84	56	47	20	91	29	16	18	29	29	53	33	18	65	53	37	97	42	79	7	18	78	9	11	30	14	36	26	14	61	18	61	36	55	68	65	2	75	57	76	76	85	30	41	87	84	24	89	40	64	46	13	68	8	34	98	20	34	8	17	82	31	89	61	64	28	34	10	12	85	25	9	63	82	1	
57	97	43	1	10	52	80	26	75	43	4	45	60	63	69	62	9	4	34	12	13	59	21	91	39	8	29	30	20	59	36	47	77	28	43	92	42	40	32	3	70	4	55	67	94	61	70	10	32	58	9	95	97	25	26	28	27	97	32	95	31	87	49	96	11	30	79	66	86	63	86	71	17	83	78	49	94	82	64	15	5	61	61	44	32	36	21	39	91	12	65	61	92	48	18	48	14	54	64	56	31	24	87	80	46	63	51	71	27	67	25	51	93	25	18	65	4	25	3	93	82	31	2	27	11	7	55	27	67	81	81	88	46	77	94	16	73	29	48	21	58	57	6	73	24	90	11	68	51	85	12	9	10	58	28	71	23	24	98	38	29	44	7	21	65	73	3	57	2	32	37	6	83	55	40	22	74	10	17	39	99	68	4	41	26	77	94	26	4	88	45	94	42	15	83	35	96	40	100	38	
1	79	68	70	52	8	42	22	66	90	50	62	61	12	76	91	28	96	76	25	92	98	88	34	83	24	10	56	86	54	30	13	100	47	91	11	58	84	16	24	25	35	59	96	8	86	48	27	71	97	65	28	54	93	96	50	67	3	12	12	9	19	74	7	63	44	45	97	26	78	70	80	43	26	19	45	100	75	21	67	98	10	83	65	36	1	97	27	3	28	76	2	66	58	38	55	93	18	58	6	92	83	28	44	72	77	17	12	19	18	95	58	60	93	45	26	23	19	3	43	96	40	9	1	69	11	68	57	15	14	19	9	77	30	99	79	34	77	80	28	1	55	32	33	93	3	7	35	23	78	26	29	64	29	69	1	82	63	1	27	91	29	66	30	13	22	62	92	34	67	62	85	98	25	98	100	44	99	40	98	35	36	24	62	86	77	80	39	23	69	80	3	72	46	60	1	44	94	55	17	
46	73	63	45	80	42	17	98	91	98	12	50	54	82	97	90	100	44	51	84	87	23	38	1	45	26	50	62	21	75	30	11	93	50	94	25	32	36	47	75	29	37	98	23	62	43	10	14	80	29	76	72	66	12	89	25	13	90	4	63	55	8	23	50	32	95	52	64	52	82	31	60	10	61	68	55	94	46	55	85	23	23	98	82	75	55	95	29	6	75	37	33	78	14	66	36	48	54	42	24	89	91	84	46	84	22	11	20	60	6	61	29	15	94	54	88	36	80	24	68	6	4	16	31	71	98	54	24	13	98	62	72	40	10	18	84	57	51	1	25	3	34	53	15	67	27	72	72	100	22	84	34	95	90	88	69	56	53	18	57	84	2	24	83	32	22	75	3	93	53	45	26	90	36	40	2	62	84	89	77	100	33	71	5	32	63	13	57	19	100	49	67	62	97	59	9	73	63	4	55	
30	46	85	55	26	22	98	25	28	27	51	43	82	52	89	37	2	53	73	58	48	68	62	27	51	59	95	24	35	88	32	43	43	83	17	71	63	15	19	68	49	31	64	86	88	11	45	27	14	35	69	27	24	96	13	42	44	68	43	30	21	43	50	94	34	72	58	63	57	62	66	85	48	64	32	49	77	49	34	85	84	70	26	15	96	76	58	50	6	52	66	60	43	39	27	44	47	75	70	68	39	74	88	93	11	68	28	9	50	27	80	52	36	64	16	66	32	88	95	59	17	59	85	32	24	45	14	66	13	56	23	87	82	90	17	61	3	58	10	7	75	27	3	64	29	18	58	50	82	55	22	83	96	13	36	28	58	81	16	9	94	64	2	33	93	89	57	23	90	50	100	100	12	13	86	47	9	37	89	77	5	52	78	79	86	2	69	29	17	97	32	67	69	16	34	54	52	100	23	82	
41	41	94	61	75	66	91	28	72	39	34	56	10	32	92	79	60	59	91	15	99	40	91	75	38	36	48	17	98	1	15	68	18	11	44	92	11	27	84	73	37	38	6	63	1	12	97	1	55	30	23	91	42	76	77	39	81	64	78	28	2	11	38	21	77	91	38	50	36	35	86	35	55	65	63	38	32	20	90	35	40	27	31	97	44	78	29	84	35	9	4	55	18	11	61	95	97	94	26	31	90	19	47	90	15	47	99	37	55	55	19	46	10	66	3	30	99	12	52	23	41	75	71	83	53	80	100	95	62	21	39	84	98	26	25	60	83	63	43	31	34	94	91	76	46	72	28	59	81	16	1	45	25	73	17	13	50	84	50	25	11	24	12	53	34	76	2	7	48	13	33	64	91	91	93	29	93	45	52	39	18	54	75	43	42	46	81	35	77	93	97	70	42	42	16	66	6	68	70	58	
